Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,800
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,92
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,99.86%,740
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,83
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,799
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,139
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,732
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,103
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,99.88%,837
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,101
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,99.87%,753
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,103
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,895
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,146
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,99.86%,714
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,114
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,95.21%,918
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,96.08%,153
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,95.47%,773
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,92.59%,135
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,99.54%,877
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,155
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,99.72%,713
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,177
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,98.45%,901
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,97.01%,167
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,95.43%,853
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,91.84%,196
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,95.82%,958
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,94.51%,182
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,89.55%,842
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,93.08%,130
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,96.97%,958
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,96.40%,139
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,95.89%,852
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,90.08%,121
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,99.75%,805
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,99.27%,137
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,99.54%,651
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,99.19%,124
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,98.65%,962
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,96.35%,137
2020-2021,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.27%,843
