Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Curriculum _______(AR),Curriculum _______(EN),Students Gender ___ ______ (AR),Students Gender ___ ______ (EN),Schools Count ___ _______
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,1
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,20
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,23
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,46
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,1
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,3
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,4
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,7
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,2
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,10
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,14
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,32
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,2
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,10
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,11
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,15
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,4
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,10
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,10
2024-2025,_______ ________,Public,_____,AL AIN,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,18
2024-2025,_______ ________,Public,_____,AL AIN,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,29
2024-2025,_______ ________,Public,_____,AL AIN,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,49
2024-2025,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,2
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,11
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,10
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,24
2024-2025,_______ ________ - _____,Public Ajyal,___,DUBAI,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,4
2024-2025,_______ ________,Public,___,DUBAI,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,13
2024-2025,_______ ________,Public,___,DUBAI,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,12
2024-2025,_______ ________,Public,___,DUBAI,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,23
2024-2025,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,4
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _____ _______ ________,Ministry of Education Curriculum,____,Girls,13
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _____ _______ ________,Ministry of Education Curriculum,____,Boys,20
2024-2025,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _____ _______ ________,Ministry of Education Curriculum,_____,Co Edu,29
