Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2024-2025,_______ ________,Public,______,ABU DHABI,____,Female,_______,Emirati,2929,2115
2024-2025,_______ ________,Public,______,ABU DHABI,____,Female,____,Resident,1656,1611
2024-2025,_______ ________,Public,______,ABU DHABI,___,Male,_______,Emirati,372,182
2024-2025,_______ ________,Public,______,ABU DHABI,___,Male,____,Resident,1108,989
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,_______,Emirati,297,191
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,____,Resident,117,117
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,_______,Emirati,11,2
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,____,Resident,111,105
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,_______,Emirati,8,7
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,____,Female,____,Resident,36,35
2024-2025,_______ ________ - _____,Public Ajyal,__ _______,Umm Al Quwain,___,Male,____,Resident,6,5
2024-2025,_______ ________,Public,_______,SHARJAH,____,Female,_______,Emirati,952,633
2024-2025,_______ ________,Public,_______,SHARJAH,____,Female,____,Resident,647,631
2024-2025,_______ ________,Public,_______,SHARJAH,___,Male,_______,Emirati,75,13
2024-2025,_______ ________,Public,_______,SHARJAH,___,Male,____,Resident,523,496
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,_______,Emirati,24,18
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,____,Female,____,Resident,74,61
2024-2025,_______ ________ - _____,Public Ajyal,_______,SHARJAH,___,Male,____,Resident,16,10
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,834,598
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,181,180
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,_______,Emirati,83,22
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,279,277
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,33,29
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,74,66
2024-2025,_______ ________ - _____,Public Ajyal,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,19,12
2024-2025,_______ ________,Public,______,AL DHAFRA,____,Female,_______,Emirati,288,151
2024-2025,_______ ________,Public,______,AL DHAFRA,____,Female,____,Resident,555,518
2024-2025,_______ ________,Public,______,AL DHAFRA,___,Male,_______,Emirati,12,3
2024-2025,_______ ________,Public,______,AL DHAFRA,___,Male,____,Resident,375,332
2024-2025,_______ ________,Public,_____,AL AIN,____,Female,_______,Emirati,3219,2276
