Graduation_Academic_Year,Institution_Name_AR,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Academic_Degree,STEM_Indicator,Total_Graduates
2017-2018,أكاديمية الإمارات لإدارة الضيافة,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,National,Bachelors,NS,4
2017-2018,أكاديمية الإمارات لإدارة الضيافة,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Bachelors,NS,50
2017-2018,أكاديمية الإمارات لإدارة الضيافة,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Higher Diploma,NS,6
2017-2018,أكاديمية الإمارات لإدارة الضيافة,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Masters,NS,8
2017-2018,أكاديمية ربدان,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,National,Bachelors,NS,49
2017-2018,أكاديمية ربدان,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,National,Diploma,NS,47
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Bachelors,E,2
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,National,Bachelors,NS,170
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Bachelors,NS,148
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Bachelors,S,8
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,National,Bachelors,T,8
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Bachelors,T,12
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,National,Master of Business Administration,NS,15
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Master of Business Administration,NS,10
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,National,Masters,NS,74
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Masters,NS,12
2017-2018,الجامعة الأمريكية في الإمارات,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,National,Masters,T,10
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Bachelors,E,63
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Bachelors,E,460
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Bachelors,NS,103
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Bachelors,NS,467
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Bachelors,S,26
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Bachelors,"S,M",1
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Bachelors,"S,M",3
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Bachelors,T,9
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Bachelors,T,74
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Master of Business Administration,NS,5
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Master of Business Administration,NS,13
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Masters,E,18
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Masters,E,74
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,National,Masters,NS,6
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Masters,NS,20
2017-2018,الجامعة الأمريكية فى الشارقة,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Masters,"S,M",3
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,National,Bachelors,E,11
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Bachelors,E,76
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,National,Bachelors,NS,48
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Bachelors,NS,250
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Bachelors,T,4
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Foundation,NS,1
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Masters,E,1
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,National,Masters,NS,4
2017-2018,الجامعة الأمريكية فى دبي,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Masters,NS,33
2017-2018,الجامعة الأمريكية في رأس الخيمة,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,National,Bachelors,E,18
2017-2018,الجامعة الأمريكية في رأس الخيمة,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Bachelors,E,47
