Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2017-2018,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,13
2017-2018,ABU DHABI UNIVERSITY,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Admin,إداري,6
2017-2018,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,1
2017-2018,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,25
2017-2018,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,4
2017-2018,CITY UNIVERSITY AJMAN,غير معروف,Unknown,خاصة,Private,Non-National,Admin,إداري,1
2017-2018,DUBAI MEDICAL COLLEGE FOR GIRLS,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Admin,إداري,1
2017-2018,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,1
2017-2018,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,2
2017-2018,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,2
2017-2018,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2017-2018,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,3
2017-2018,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,7
2017-2018,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,8
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,8
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,5
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,2
2017-2018,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,10
2017-2018,KHALIFA UNIVERSITY,خارج الدولة ,Outside of UAE ,حكومة محلية,Local Government,Non-National,Admin,إداري,2
2017-2018,KHALIFA UNIVERSITY,غير معروف,Unknown,حكومة محلية,Local Government,Non-National,Admin,إداري,5
2017-2018,LIWA COLLEGE OF TECHNOLOGY,غير معروف,Unknown,خاصة,Private,Non-National,Admin,إداري,6
2017-2018,MENA COLLEGE OF MANAGEMENT,غير معروف,Unknown,خاصة,Private,Non-National,Admin,إداري,4
2017-2018,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,36
2017-2018,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,4
2017-2018,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,6
2017-2018,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,غير معروف,Unknown,حكومة محلية,Local Government,Non-National,Admin,إداري,2
2017-2018,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,5
2017-2018,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,15
2017-2018,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,غير معروف,Unknown,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,16
2017-2018,ROYAL COLLEGE OF SURGEONS IN IRELAND- DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,5
2017-2018,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,24
2017-2018,"SORBONNE UNIVERSITY, ABU DHABI",غير معروف,Unknown,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,52
2017-2018,THE COLLEGE OF FASHION AND DESIGN,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Admin,إداري,1
2017-2018,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,5
2017-2018,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,4
2017-2018,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,غير معروف,Unknown,خاصة,Private,Non-National,Admin,إداري,11
2017-2018,UNIVERSITY OF WOLLONGONG IN DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,11
2017-2018,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,7
2017-2018,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1
2018-2019,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,88
2018-2019,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,38
2018-2019,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,265
2018-2019,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,13
2018-2019,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,164
2018-2019,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2018-2019,AJMAN UNIVERSITY ,الفجيرة,Fujairah,خاصة,Private,Non-National,Admin,إداري,119
2018-2019,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,553
2018-2019,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,218
2018-2019,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,96
2018-2019,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,50
2018-2019,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,64
2018-2019,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,119
2018-2019,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,71
2018-2019,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,38
2018-2019,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,434
2018-2019,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,149
2018-2019,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,173
2018-2019,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,908
2018-2019,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,42
2018-2019,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,186
2018-2019,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,18
2018-2019,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,51
2018-2019,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,31
2018-2019,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,52
2018-2019,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,45
2018-2019,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,54
2018-2019,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,75
2018-2019,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,26
2018-2019,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2018-2019,EUROPEAN INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,11
2018-2019,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,33
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,63
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,8
