Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2017-2018,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,59
2017-2018,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,13
2017-2018,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,82
2017-2018,ABU DHABI UNIVERSITY,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,199
2017-2018,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2017-2018,AJMAN UNIVERSITY ,الفجيرة,Fujairah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,66
2017-2018,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,273
2017-2018,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,181
2017-2018,AL DAR UNIVERSITY COLLEGE,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,38
2017-2018,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,32
2017-2018,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,64
2017-2018,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,72
2017-2018,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,53
2017-2018,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,35
2017-2018,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,180
2017-2018,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,141
2017-2018,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,91
2017-2018,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,369
2017-2018,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,30
2017-2018,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,104
2017-2018,CITY UNIVERSITY AJMAN,غير معروف,Unknown,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,56
2017-2018,DUBAI MEDICAL COLLEGE FOR GIRLS,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,4
2017-2018,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,26
2017-2018,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,32
2017-2018,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,17
2017-2018,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,81
2017-2018,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,22
2017-2018,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,15
2017-2018,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,4
2017-2018,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,12
2017-2018,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,4
2017-2018,EUROPEAN INTERNATIONAL COLLEGE,غير معروف,Unknown,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,11
2017-2018,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,22
2017-2018,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,68
2017-2018,FATIMA COLLEGE OF HEALTH SCIENCES,خارج الدولة ,Outside of UAE ,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,6
2017-2018,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,10
2017-2018,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,126
2017-2018,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,85
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,475
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,225
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,129
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,280
2017-2018,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,157
2017-2018,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,29
