Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2013-2014 : Fall,Abu Dhabi Polytechnic,Female,National,42
2013-2014 : Spring,Abu Dhabi Polytechnic,Female,National,28
2014-2015 : Fall,Abu Dhabi Polytechnic,Female,National,196
2014-2015 : Spring,Abu Dhabi Polytechnic,Female,National,29
2015-2016 : Fall,Abu Dhabi Polytechnic,Female,National,128
2015-2016 : Spring,Abu Dhabi Polytechnic,Female,National,22
2016-2017 : Fall,Abu Dhabi Polytechnic,Female,National,115
2016-2017 : Spring,Abu Dhabi Polytechnic,Female,National,46
2017-2018 : Fall,Abu Dhabi Polytechnic,Female,National,93
2018-2019 : Spring,Abu Dhabi Polytechnic,Female,National,43
2019-2020 : Fall,Abu Dhabi Polytechnic,Female,National,98
2019-2020 : Spring,Abu Dhabi Polytechnic,Female,National,13
2019-2020 : Winter,Abu Dhabi Polytechnic,Female,National,43
2020-2021 : Fall,Abu Dhabi Polytechnic,Female,National,180
2020-2021 : Spring,Abu Dhabi Polytechnic,Female,National,44
2022-2023 : Spring,Abu Dhabi Polytechnic,Female,National,28
2013-2014 : Spring,Abu Dhabi School of Management,Female,Non-National,1
2016-2017 : Fall,Abu Dhabi School of Management,Female,Non-National,1
2016-2017 : Spring,Abu Dhabi School of Management,Female,National,53
2017-2018 : Fall,Abu Dhabi School of Management,Female,Non-National,10
2018-2019 : Fall,Abu Dhabi School of Management,Female,National,85
2018-2019 : Fall,Abu Dhabi School of Management,Female,Non-National,4
2019-2020 : Fall,Abu Dhabi School of Management,Female,National,97
2019-2020 : Spring,Abu Dhabi School of Management,Female,National,34
2020-2021 : Fall,Abu Dhabi School of Management,Female,Non-National,3
2012-2013 : Fall,Abu Dhabi University,Female,National,112
2012-2013 : Spring,Abu Dhabi University,Female,National,61
2012-2013 : Spring,Abu Dhabi University,Female,Non-National,151
2013-2014 : Fall,Abu Dhabi University,Female,Non-National,520
2013-2014 : Spring,Abu Dhabi University,Female,Non-National,305
2014-2015 : Spring,Abu Dhabi University,Female,Non-National,395
2015-2016 : Fall,Abu Dhabi University,Female,Non-National,863
2016-2017 : Fall,Abu Dhabi University,Female,Non-National,360
2016-2017 : Spring,Abu Dhabi University,Female,Non-National,168
2017-2018 : Fall,Abu Dhabi University,Female,Non-National,975
2017-2018 : Summer 1,Abu Dhabi University,Female,National,33
2017-2018 : Summer 1,Abu Dhabi University,Female,Non-National,8
2017-2018 : Winter,Abu Dhabi University,Female,National,51
2017-2018 : Winter,Abu Dhabi University,Female,Non-National,93
2019-2020 : Fall,Abu Dhabi University,Female,Non-National,480
2019-2020 : Winter,Abu Dhabi University,Female,Non-National,52
2020-2021 : Fall,Abu Dhabi University,Female,Non-National,345
2020-2021 : Summer 1,Abu Dhabi University,Female,Non-National,40
2020-2021 : Winter,Abu Dhabi University,Female,National,113
2020-2021 : Winter,Abu Dhabi University,Female,Non-National,61
2021-2022 : Fall,Abu Dhabi University,Female,Non-National,305
2021-2022 : Spring,Abu Dhabi University,Female,National,95
2022-2023 : Fall,Abu Dhabi University,Female,National,330
2022-2023 : Fall,Abu Dhabi University,Female,Non-National,431
2022-2023 : Spring,Abu Dhabi University,Female,National,162
2022-2023 : Spring,Abu Dhabi University,Female,Non-National,102
2022-2023 : Winter,Abu Dhabi University,Female,National,100
2022-2023 : Winter,Abu Dhabi University,Female,Non-National,89
2012-2013 : Fall,Abu Dhabi Vocational Education & Training Institute,Female,National,216
2013-2014 : Spring,Abu Dhabi Vocational Education & Training Institute,Female,National,123
2012-2013 : Fall,Abu Dhabi Polytechnic,Female,National,40
2012-2013 : Fall,Abu Dhabi Polytechnic,Female,Non-National,1
2012-2013 : Spring,Abu Dhabi Polytechnic,Female,National,13
2017-2018 : Fall,Abu Dhabi Polytechnic,Female,Non-National,33
2017-2018 : Winter,Abu Dhabi Polytechnic,Female,National,4
2018-2019 : Fall,Abu Dhabi Polytechnic,Female,National,101
2020-2021 : Fall,Abu Dhabi Polytechnic,Female,Non-National,11
2021-2022 : Spring,Abu Dhabi Polytechnic,Female,National,32
2021-2022 : Spring,Abu Dhabi Polytechnic,Female,Non-National,2
2022-2023 : Fall,Abu Dhabi Polytechnic,Female,National,84
2022-2023 : Fall,Abu Dhabi Polytechnic,Female,Non-National,3
2022-2023 : Spring,Abu Dhabi Polytechnic,Female,Non-National,1
2013-2014 : Spring,Abu Dhabi School of Management,Female,National,35
2016-2017 : Fall,Abu Dhabi School of Management,Female,National,39
2017-2018 : Fall,Abu Dhabi School of Management,Female,National,81
2017-2018 : Spring,Abu Dhabi School of Management,Female,National,22
2018-2019 : Spring,Abu Dhabi School of Management,Female,National,15
2018-2019 : Winter,Abu Dhabi School of Management,Female,National,56
2018-2019 : Winter,Abu Dhabi School of Management,Female,Non-National,1
2019-2020 : Fall,Abu Dhabi School of Management,Female,Non-National,7
2019-2020 : Spring,Abu Dhabi School of Management,Female,Non-National,1
2019-2020 : Summer 1,Abu Dhabi School of Management,Female,National,16
2019-2020 : Summer 1,Abu Dhabi School of Management,Female,Non-National,1
2020-2021 : Fall,Abu Dhabi School of Management,Female,National,72
2012-2013 : Fall,Abu Dhabi University,Female,Non-National,311
2013-2014 : Fall,Abu Dhabi University,Female,National,229
2013-2014 : Spring,Abu Dhabi University,Female,National,114
2014-2015 : Fall,Abu Dhabi University,Female,National,184
2014-2015 : Fall,Abu Dhabi University,Female,Non-National,960
2014-2015 : Spring,Abu Dhabi University,Female,National,142
2015-2016 : Fall,Abu Dhabi University,Female,National,192
2015-2016 : Spring,Abu Dhabi University,Female,National,113
2015-2016 : Spring,Abu Dhabi University,Female,Non-National,189
2016-2017 : Fall,Abu Dhabi University,Female,National,253
2016-2017 : Spring,Abu Dhabi University,Female,National,161
2017-2018 : Fall,Abu Dhabi University,Female,National,235
2017-2018 : Spring,Abu Dhabi University,Female,National,115
2017-2018 : Spring,Abu Dhabi University,Female,Non-National,283
2018-2019 : Fall,Abu Dhabi University,Female,National,233
2018-2019 : Fall,Abu Dhabi University,Female,Non-National,736
2018-2019 : Spring,Abu Dhabi University,Female,National,135
2018-2019 : Spring,Abu Dhabi University,Female,Non-National,235
2018-2019 : Summer 1,Abu Dhabi University,Female,National,26
2018-2019 : Summer 1,Abu Dhabi University,Female,Non-National,9
2018-2019 : Winter,Abu Dhabi University,Female,National,46
2018-2019 : Winter,Abu Dhabi University,Female,Non-National,62
2019-2020 : Fall,Abu Dhabi University,Female,National,345
2019-2020 : Spring,Abu Dhabi University,Female,National,115
2019-2020 : Spring,Abu Dhabi University,Female,Non-National,193
2019-2020 : Summer 1,Abu Dhabi University,Female,National,96
2019-2020 : Summer 1,Abu Dhabi University,Female,Non-National,31
2019-2020 : Winter,Abu Dhabi University,Female,National,76
2020-2021 : Fall,Abu Dhabi University,Female,National,449
2020-2021 : Spring,Abu Dhabi University,Female,National,194
2020-2021 : Spring,Abu Dhabi University,Female,Non-National,131
2020-2021 : Summer 1,Abu Dhabi University,Female,National,41
2021-2022 : Fall,Abu Dhabi University,Female,National,254
2021-2022 : Spring,Abu Dhabi University,Female,Non-National,124
2021-2022 : Summer 1,Abu Dhabi University,Female,National,19
2021-2022 : Summer 1,Abu Dhabi University,Female,Non-National,18
2021-2022 : Winter,Abu Dhabi University,Female,National,88
