"Sector","Reference area","2021","2022","2023"
"Federal Government","Ajman","2","1","2"
"Private - Individual Sessions","Ras Al Khaimah","1","2","2"
"Private - Integrated Services","Umm Al Quwain","0","0","0"
"Semi-Government","Sharjah","0","0","0"
"Total","UAE","100","92","88"
"Private - Integrated Services","Ajman","2","2","1"
"Federal Government","Fujairah","3","3","4"
"Total","Abu Dhabi","38","34","34"
"Local Government","Umm Al Quwain","0","0","0"
"Private - Individual Sessions","Fujairah","2","2","2"
"Total","Ras Al Khaimah","5","6","6"
"Federal Government","Ras Al Khaimah","1","2","2"
"Private - Integrated Services","Fujairah","0","0","0"
"Local Government","UAE","26","24","23"
"Federal Government","Umm Al Quwain","1","2","1"
"Semi-Government","Abu Dhabi","1","1","1"
"Federal Government","Dubai","2","2","2"
"Total","Ajman","7","6","5"
"Private - Individual Sessions","Umm Al Quwain","0","0","0"
"Semi-Government","Ras Al Khaimah","0","0","0"
"Federal Government","UAE","9","10","11"
"Total","Fujairah","5","5","6"
"Semi-Government","Dubai","6","6","6"
"Local Government","Sharjah","12","10","10"
"Federal Government","Sharjah","0","0","0"
"Private - Individual Sessions","UAE","25","25","22"
"Private - Individual Sessions","Ajman","3","3","2"
"Total","Umm Al Quwain","1","2","1"
"Total","Dubai","14","14","14"
"Semi-Government","UAE","7","7","7"
"Private - Individual Sessions","Abu Dhabi","7","6","5"
"Semi-Government","Ajman","0","0","0"
"Semi-Government","Fujairah","0","0","0"
"Private - Individual Sessions","Dubai","2","2","3"
"Semi-Government","Umm Al Quwain","0","0","0"
"Private - Integrated Services","Ras Al Khaimah","3","2","2"
"Local Government","Ajman","0","0","0"
"Local Government","Dubai","0","0","0"
"Local Government","Abu Dhabi","14","14","13"
"Total","Sharjah","30","25","22"
"Federal Government","Abu Dhabi","0","0","0"
"Private - Integrated Services","Dubai","4","4","3"
"Local Government","Fujairah","0","0","0"
"Private - Integrated Services","Sharjah","8","5","4"
"Private - Integrated Services","Abu Dhabi","16","13","15"
"Private - Individual Sessions","Sharjah","10","10","8"
"Local Government","Ras Al Khaimah","0","0","0"
"Private - Integrated Services","UAE","33","26","25"
