"Gender","Disability Type","Age Group","2021","2022","2023"
"Male","Autism","0 to 5 Years","206","137","132"
"Male","Visual Disability","0 to 5 Years","5","6","1"
"Male","Multi - Disability","11 to 15 Years","108","104","111"
"Male","Developmental Delay","21 Years and above","0","0","0"
"Male","Neurodevelopmental Disorder (ADHD)","16 to 20 Years","0","0","-"
"Female","Hearing Disability","21 Years and above","16","14","22"
"Female","Multi - Disability","21 Years and above","47","52","83"
"Female","Communication Disorder","0 to 5 Years","3","-","1"
"Total","Intellectual - Down Syndrome","21 Years and above","22","145","-"
"Total","Autism","11 to 15 Years","468","687","-"
"Total","Multi - Disability","16 to 20 Years","100","115","-"
"Male","Intellectual - Others","Total","1,270","992","-"
"Male","Autism","6 to 10 Years","549","559","636"
"Male","Hearing Disability","11 to 15 Years","35","27","14"
"Female","Intellectual - Others","0 to 5 Years","105","79","-"
"Female","Autism","16 to 20 Years","25","41","49"
"Female","Physical Disability","0 to 5 Years","20","23","5"
"Female","Developmental Delay","Total","38","61","35"
"Female","Learning Difficulties","Total","-","-","0"
"Female","Total","11 to 15 Years","426","468","431"
"Total","Autism","6 to 10 Years","710","727","-"
"Total","Visual Disability","6 to 10 Years","8","6","-"
"Total","Communication Disorder","0 to 5 Years","8","-","-"
"Total","Neurodevelopmental Disorder (ADHD)","21 Years and above","1","0","-"
"Male","Intellectual - Down Syndrome","11 to 15 Years","58","152","-"
"Male","Intellectual - Others","21 Years and above","377","380","-"
"Male","Hearing Disability","16 to 20 Years","19","28","25"
"Male","Multi - Disability","16 to 20 Years","59","62","95"
"Female","Hearing Disability","Total","85","78","62"
"Female","Physical Disability","6 to 10 Years","17","18","10"
"Female","Visual Disability","16 to 20 Years","4","0","1"
"Female","Neurodevelopmental Disorder (ADHD)","Total","2","1","-"
"Female","Total","6 to 10 Years","494","507","520"
"Total","Communication Disorder","6 to 10 Years","0","-","-"
"Male","Intellectual - Down Syndrome","16 to 20 Years","29","140","-"
"Male","Hearing Disability","0 to 5 Years","20","14","7"
"Male","Physical Disability","Total","79","97","41"
"Male","Multi - Disability","0 to 5 Years","46","44","34"
"Male","Neurodevelopmental Disorder (ADHD)","11 to 15 Years","0","0","-"
"Male","Total","6 to 10 Years","974","1,031","1,140"
"Female","Intellectual - Down Syndrome","Total","118","376","-"
"Female","Intellectual - Others","Total","888","702","-"
"Female","Autism","11 to 15 Years","90","136","131"
"Female","Hearing Disability","16 to 20 Years","20","18","8"
"Female","Visual Disability","11 to 15 Years","0","1","0"
"Female","Multi - Disability","16 to 20 Years","41","53","52"
"Total","Developmental Delay","Total","144","208","-"
"Total","Total","0 to 5 Years","865","726","657"
"Male","Intellectual - Down Syndrome","6 to 10 Years","35","114","-"
"Male","Hearing Disability","21 Years and above","13","9","14"
"Male","Multi - Disability","21 Years and above","73","86","123"
"Male","Neurodevelopmental Disorder (ADHD)","6 to 10 Years","0","0","-"
"Female","Intellectual - Down Syndrome","16 to 20 Years","23","90","-"
"Female","Multi - Disability","11 to 15 Years","80","71","71"
"Female","Multi - Disability","Total","277","278","337"
"Female","Developmental Delay","0 to 5 Years","37","53","32"
"Female","Developmental Delay","21 Years and above","0","0","1"
"Female","Neurodevelopmental Disorder (ADHD)","16 to 20 Years","0","1","-"
"Female","Total","21 Years and above","340","409","556"
"Total","Intellectual - Down Syndrome","11 to 15 Years","92","259","-"
"Total","Intellectual - Down Syndrome","Total","274","900","-"
"Total","Intellectual - Others","0 to 5 Years","247","168","-"
"Total","Intellectual - Others","21 Years and above","623","647","-"
"Total","Communication Disorder","Total","9","-","-"
"Total","Neurodevelopmental Disorder (ADHD)","11 to 15 Years","1","0","-"
"Male","Intellectual - Down Syndrome","0 to 5 Years","24","28","-"
"Male","Intellectual - Down Syndrome","21 Years and above","10","90","-"
"Male","Physical Disability","21 Years and above","11","15","7"
"Male","Communication Disorder","6 to 10 Years","0","-","2"
"Male","Neurodevelopmental Disorder (ADHD)","0 to 5 Years","2","0","-"
"Male","Neurodevelopmental Disorder (ADHD)","21 Years and above","1","0","-"
"Female","Hearing Disability","11 to 15 Years","19","20","12"
"Total","Autism","21 Years and above","54","98","-"
