"Gender","Reference area","2021","2022","2023"
"Total","Sharjah","1,117","1,204","1,239"
"Total","Ras Al Khaimah","223","241","307"
"Male","Abu Dhabi","1,644","1,740","1,902"
"Total","Abu Dhabi","2,502","2,650","2,862"
"Total","Dubai","1,024","1,216","1,242"
"Total","UAE","5,294","5,753","6,150"
"Female","Dubai","344","411","405"
"Female","Ajman","62","48","63"
"Total","Ajman","163","130","169"
"Male","Sharjah","717","788","819"
"Male","UAE","3,468","3,787","4,105"
"Male","Dubai","680","805","837"
"Female","Fujairah","77","79","93"
"Male","Ras Al Khaimah","157","166","223"
"Male","Ajman","101","82","106"
"Total","Umm Al Quwain","81","103","84"
"Female","Sharjah","400","416","420"
"Female","Umm Al Quwain","19","27","20"
"Female","Abu Dhabi","858","910","960"
"Total","Fujairah","184","209","247"
"Female","UAE","1,826","1,966","2,045"
"Male","Fujairah","107","130","154"
"Female","Ras Al Khaimah","66","75","84"
"Male","Umm Al Quwain","62","76","64"
