"Nationality","Reference area","2021","2022","2023"
"Non-Emirati","Dubai","607","732","755"
"Total","Dubai","1,024","1,216","1,242"
"Total","Umm Al Quwain","81","103","84"
"Emirati","Sharjah","487","525","546"
"Total","Fujairah","184","209","247"
"Emirati","Abu Dhabi","1,865","1,993","2,003"
"Emirati","Fujairah","181","206","243"
"Total","Ras Al Khaimah","223","241","307"
"Non-Emirati","Umm Al Quwain","6","8","6"
"Emirati","Umm Al Quwain","75","95","78"
"Emirati","Dubai","417","484","487"
"Non-Emirati","Ras Al Khaimah","19","26","36"
"Non-Emirati","UAE","1,934","2,134","2,396"
"Total","Sharjah","1,117","1,204","1,239"
"Non-Emirati","Ajman","32","29","43"
"Emirati","Ras Al Khaimah","204","215","271"
"Total","Abu Dhabi","2,502","2,650","2,862"
"Emirati","Ajman","131","101","126"
"Non-Emirati","Abu Dhabi","637","657","859"
"Non-Emirati","Fujairah","3","3","4"
"Emirati","UAE","3,360","3,619","3,754"
"Total","Ajman","163","130","169"
"Non-Emirati","Sharjah","630","679","693"
"Total","UAE","5,294","5,753","6,150"
