STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,People of Determination,CEN_TYPE,Sector,GENDER,Gender,CITIZENSHIP,Nationality,DIS_TYPE,Disability Type,AGE_GRP,Age Group,QUAL,Qualification,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,2587,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,2845,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,2949,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,3680,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,884,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,255,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,1165,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,1366,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,612,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,208,,,,,,,
