STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,People of Determination,CEN_TYPE,Sector,GENDER,Gender,CITIZENSHIP,Nationality,DIS_TYPE,Disability Type,AGE_GRP,Age Group,QUAL,Qualification,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,73,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,48,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,101,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,604,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,751,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,747,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,EMIRATI,Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,902,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,232,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,904,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,276,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,270,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,1983,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,2094,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,2202,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,_T,Total,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,2778,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,59,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,900,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,89,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,FED,Federal Government,_Z,Not Applicable,NON-EMIRATI,Non-Emirati,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,96,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,626,,,,,,,
DATAFLOW,FCSA:DF_STAFF_CIT(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Nationality and Sector,I,A,Annual,STF,Staff,SEMI,Semi-Government,_Z,Not Applicable,_T,Total,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,687,,,,,,,
