"Citizenship","Gender","Education","2019","2020","2023"
"Emirati","Male","Illiterate","7","-","-"
"Emirati","Male","Reads and writes","22.7","-","-"
"Emirati","Male","Primary","33.1","-","-"
"Emirati","Male","Preparatory","44.8","-","-"
"Emirati","Male","Secondary","68.4","-","-"
"Emirati","Male","Post-Secondary Non-Tertiary","70.5","-","-"
"Emirati","Male","Short-Cycle Tertiary Education","86.7","-","-"
"Emirati","Male","Bachelor or equivalent","88","-","-"
"Emirati","Male","Higher Diploma","79.8","-","-"
"Emirati","Male","Masters or equivalent","93.5","-","-"
"Emirati","Male","Doctoral or equivalent","82.5","-","-"
"Emirati","Male","Not Stated","28.8","-","-"
"Emirati","Male","Total","62.2","-","-"
"Emirati","Female","Illiterate","0.5","-","-"
"Emirati","Female","Reads and writes","2.1","-","-"
"Emirati","Female","Primary","4.2","-","-"
"Emirati","Female","Preparatory","11.7","-","-"
"Emirati","Female","Secondary","29.5","-","-"
"Emirati","Female","Post-Secondary Non-Tertiary","44.4","-","-"
"Emirati","Female","Short-Cycle Tertiary Education","51.9","-","-"
"Emirati","Female","Bachelor or equivalent","69.9","-","-"
"Emirati","Female","Higher Diploma","48","-","-"
"Emirati","Female","Masters or equivalent","83.6","-","-"
"Emirati","Female","Doctoral or equivalent","86.8","-","-"
"Emirati","Female","Not Stated","13.5","-","-"
"Emirati","Female","Total","33.2","-","-"
"Emirati","Total","Illiterate","2.6","-","-"
"Emirati","Total","Reads and writes","9.3","-","-"
"Emirati","Total","Primary","18","-","-"
"Emirati","Total","Preparatory","31","-","-"
"Emirati","Total","Secondary","49.7","-","-"
"Emirati","Total","Post-Secondary Non-Tertiary","55.3","-","-"
"Emirati","Total","Short-Cycle Tertiary Education","67.9","-","-"
"Emirati","Total","Bachelor or equivalent","77.8","-","-"
"Emirati","Total","Higher Diploma","66.7","-","-"
"Emirati","Total","Masters or equivalent","89.5","-","-"
"Emirati","Total","Doctoral or equivalent","83.7","-","-"
"Emirati","Total","Not Stated","20.7","-","-"
"Emirati","Total","Total","47.6","-","-"
"Non-Emirati","Male","Illiterate","96.4","-","-"
"Non-Emirati","Male","Reads and writes","98.4","-","-"
"Non-Emirati","Male","Primary","95.4","-","-"
"Non-Emirati","Male","Preparatory","88.5","-","-"
"Non-Emirati","Male","Secondary","90.9","-","-"
"Non-Emirati","Male","Post-Secondary Non-Tertiary","95.8","-","-"
"Non-Emirati","Male","Short-Cycle Tertiary Education","95.7","-","-"
"Non-Emirati","Male","Bachelor or equivalent","97.1","-","-"
"Non-Emirati","Male","Higher Diploma","99.5","-","-"
"Non-Emirati","Male","Masters or equivalent","99.3","-","-"
"Non-Emirati","Male","Doctoral or equivalent","98.9","-","-"
"Non-Emirati","Male","Not Stated","0","-","-"
"Non-Emirati","Male","Total","94.2","-","-"
"Non-Emirati","Female","Illiterate","78.4","-","-"
"Non-Emirati","Female","Reads and writes","83","-","-"
"Non-Emirati","Female","Primary","74.4","-","-"
"Non-Emirati","Female","Preparatory","50.8","-","-"
"Non-Emirati","Female","Secondary","49.6","-","-"
"Non-Emirati","Female","Post-Secondary Non-Tertiary","44.8","-","-"
"Non-Emirati","Female","Short-Cycle Tertiary Education","66.3","-","-"
"Non-Emirati","Female","Bachelor or equivalent","60.7","-","-"
"Non-Emirati","Female","Higher Diploma","65.5","-","-"
"Non-Emirati","Female","Masters or equivalent","64.3","-","-"
"Non-Emirati","Female","Doctoral or equivalent","60.7","-","-"
"Non-Emirati","Female","Not Stated","3.5","-","-"
"Non-Emirati","Female","Total","61.1","-","-"
"Non-Emirati","Total","Illiterate","89.5","-","-"
"Non-Emirati","Total","Reads and writes","94.8","-","-"
"Non-Emirati","Total","Primary","89.3","-","-"
"Non-Emirati","Total","Preparatory","79","-","-"
"Non-Emirati","Total","Secondary","78.5","-","-"
"Non-Emirati","Total","Post-Secondary Non-Tertiary","81","-","-"
"Non-Emirati","Total","Short-Cycle Tertiary Education","87.3","-","-"
"Non-Emirati","Total","Bachelor or equivalent","81.8","-","-"
"Non-Emirati","Total","Higher Diploma","84.8","-","-"
"Non-Emirati","Total","Masters or equivalent","85.5","-","-"
"Non-Emirati","Total","Doctoral or equivalent","86.3","-","-"
