"Gender","Reason out of Labour Force","2021","2022","2023"
"Male","Household duties - unpaid","0.29","0.21","0.52"
"Male","Student","61.71","61.22","60.54"
"Male","Unable to work (disabled, illness, incapable)","7.01","7.73","7.83"
"Male","Retired","9.54","9.24","7.19"
"Male","65 years and more not working","5.03","6.71","5.6"
"Male","Independent income","5.21","3.6","2.16"
"Male","Social circumstances","0.97","1.41","1.12"
"Male","Unwilling to work","1.52","1.1","2.18"
"Male","Didn't find suitable work","1.96","2.55","1.88"
"Male","Other","2.98","3.52","7.47"
"Male","Not Stated","3.79","2.71","3.52"
"Male","Total","-","-","100"
"Female","Household duties - unpaid","63.76","68.27","66.51"
"Female","Student","20.28","19.46","20.98"
"Female","Unable to work (disabled, illness, incapable)","1.23","1.42","1.83"
"Female","Retired","1.03","0.69","1.25"
"Female","65 years and more not working","2.58","4.39","3.73"
"Female","Independent income","0.36","0.21","0.67"
"Female","Social circumstances","1.89","1.41","1.07"
"Female","Unwilling to work","2.11","0.97","1.48"
"Female","Didn't find suitable work","2.11","1.5","0.72"
"Female","Other","0.77","0.61","0.83"
"Female","Not Stated","3.87","1.06","0.92"
"Female","Total","-","-","100"
"Total","Household duties - unpaid","46.67","47.77","47.92"
"Total","Student","31.44","32.04","32.13"
"Total","Unable to work (disabled, illness, incapable)","2.79","3.32","3.52"
"Total","Retired","3.32","3.26","2.93"
"Total","65 years and more not working","3.24","5.09","4.26"
"Total","Independent income","1.67","1.23","1.09"
"Total","Social circumstances","1.64","1.41","1.09"
"Total","Unwilling to work","1.95","1.01","1.68"
"Total","Didn't find suitable work","2.07","1.81","1.05"
"Total","Other","1.37","1.49","2.7"
"Total","Not Stated","3.85","1.56","1.65"
"Total","Total","-","-","100"
