"Educational Status","Gender","2022","2023"
"Reads and writes","Male","0","0"
"Primary","Female","227","233"
"Total","Female","2,802","2,921"
"Reads and writes","Female","2","2"
"Diploma","Total","250","263"
"Not Stated","Female","4","7"
"Preparatory","Female","360","365"
"Preparatory","Total","380","386"
"Secondary","Total","966","1,014"
"Illiterate","Female","477","485"
"University","Total","649","700"
"Postgraduate","Female","16","21"
"Total","Male","222","245"
"Preparatory","Male","20","21"
"Diploma","Male","31","32"
"Postgraduate","Male","2","2"
"Reads and writes","Total","2","2"
"Secondary","Male","78","90"
"Not Stated","Total","5","8"
"Primary","Total","256","263"
"Postgraduate","Total","18","23"
"Illiterate","Total","498","507"
"Secondary","Female","888","924"
"Diploma","Female","219","231"
"University","Female","609","653"
"Total","Total","3,024","3,166"
"Illiterate","Male","21","22"
"Primary","Male","29","30"
"University","Male","40","47"
"Not Stated","Male","1","1"
