"Gender","Education","2019","2020","2023"
"Male","Illiterate","0.3","0.9","0.39"
"Male","Reads and writes","0.1","0.8","0.32"
"Male","Primary","0.7","2","0.98"
"Male","Preparatory","1.1","2.4","1.09"
"Male","Secondary","1.9","6.3","2.1"
"Male","Post-Secondary Non-Tertiary","1","6.3","3.15"
"Male","Short-Cycle Tertiary Education","1.7","6.7","0.78"
"Male","Bachelor or equivalent","2","4.4","2.21"
"Male","Higher Diploma","1.8","5.6","1.06"
"Male","Masters or equivalent","0.5","2.3","0.5"
"Male","Doctoral or equivalent","0.3","0","1"
"Male","Not Stated","0","-","-"
"Male","Total","1.3","3.8","1.5"
"Female","Illiterate","0.1","0.3","0.05"
"Female","Reads and writes","0.2","0.3","0.19"
"Female","Primary","0.8","0.9","0.88"
"Female","Preparatory","2.3","4.2","3.48"
"Female","Secondary","7.9","9.6","8.37"
"Female","Post-Secondary Non-Tertiary","9.1","12.7","6.83"
"Female","Short-Cycle Tertiary Education","5.2","8.8","5.78"
"Female","Bachelor or equivalent","7.7","6.8","4.82"
"Female","Higher Diploma","6","7.8","2.84"
"Female","Masters or equivalent","4.8","3.8","1.97"
"Female","Doctoral or equivalent","6.3","3.1","1.23"
"Female","Not Stated","0","-","-"
"Female","Total","5.1","5.7","4.27"
"Total","Illiterate","0.2","0.7","0.3"
"Total","Reads and writes","0.1","0.7","0.3"
"Total","Primary","0.7","1.7","0.96"
"Total","Preparatory","1.3","2.6","1.4"
"Total","Secondary","3.1","7","3.05"
"Total","Post-Secondary Non-Tertiary","2.5","7.7","3.93"
"Total","Short-Cycle Tertiary Education","2.5","7.3","1.66"
"Total","Bachelor or equivalent","3.8","5.1","3.18"
"Total","Higher Diploma","3.2","5.9","1.58"
"Total","Masters or equivalent","1.8","2.7","1.04"
"Total","Doctoral or equivalent","1.8","0.9","1.08"
"Total","Not Stated","0","-","-"
"Total","Total","2.2","4.3","2.15"
